state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,ingested_at_utc
Gujarat,Patan,Siddhpur APMC,Soanf,Soanf,FAQ,21/04/2026,5730.0,8750.0,7240.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Patan,Siddhpur APMC,Mustard,Mustard,FAQ,21/04/2026,5625.0,6900.0,6262.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Patan,Siddhpur APMC,Wheat,Hybrid,FAQ,21/04/2026,2000.0,3125.0,2562.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Narmada,Rajpipla APMC,Banana,Other,Medium,21/04/2026,1850.0,2000.0,1925.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Kapadvanj APMC,Bitter gourd,Bitter Gourd,Medium,21/04/2026,3000.0,3500.0,3250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Tharad APMC,Bajra(Pearl Millet/Cumbu),Other,Local,21/04/2026,2075.0,2450.0,2275.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Tharad APMC,Mustard,Other,Local,21/04/2026,6000.0,6750.0,6400.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Tharad APMC,Rajgir,Other,Local,21/04/2026,7500.0,8725.0,8125.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Tharad APMC,Red Gram,Other,Local,21/04/2026,5050.0,5255.0,5155.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Sabarkantha,Bhiloda APMC,Bengal Gram(Gram)(Whole),Desi (Whole),Non-FAQ,21/04/2026,4800.0,5000.0,4900.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Sabarkantha,Bhiloda APMC,Wheat,Other,FAQ,21/04/2026,2250.0,2900.0,2575.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Thara APMC,Bajra(Pearl Millet/Cumbu),Other,FAQ,21/04/2026,2000.0,2490.0,2245.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Banaskanth,Thara APMC,Cummin Seed(Jeera),Other,FAQ,21/04/2026,17350.0,20900.0,19125.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Carrot,Carrot,Local,21/04/2026,2000.0,2500.0,2300.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Coriander(Leaves),Coriander,Local,21/04/2026,1000.0,3000.0,2000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Dahod,Dahod(Veg. Market) APMC,Methi(Leaves),Methi,Local,21/04/2026,2000.0,3000.0,2500.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Kheda,Nadiyad(Chaklasi) APMC,Brinjal,Brinjal,FAQ,21/04/2026,1200.0,1300.0,1250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Cauliflower,Cauliflower,Grade B,21/04/2026,1000.0,1500.0,1250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Bhindi(Ladies Finger),Bhindi,Grade B,21/04/2026,1000.0,1500.0,1250.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,"Anand(Veg,Yard,Anand) APMC",Cabbage,Cabbage,Grade B,21/04/2026,500.0,750.0,625.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,Khambhat(Grain Market) APMC,Paddy(Common),Other,Local,21/04/2026,1750.0,2175.0,2000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,Khambhat(Veg Yard Khambhat) APMC,Brinjal,Other,Local,21/04/2026,500.0,1000.0,800.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Anand,Khambhat(Veg Yard Khambhat) APMC,Bhindi(Ladies Finger),Other,Local,21/04/2026,1000.0,2500.0,2000.0,2026-04-28T19:31:14.006465+00:00
Gujarat,Valsad,Chikli(Khorgam) APMC,Tinda,Other,FAQ,21/04/2026,2500.0,3000.0,2750.0,2026-04-28T19:31:14.006465+00:00
